Date,COMMUNITY,ZIP,Unemployment rate (%)
05/01/2021 12:00:00 AM,Alpine,91901,5.73
04/01/2021 12:00:00 AM,Alpine,91901,6.48
03/01/2021 12:00:00 AM,Alpine,91901,6.94
02/01/2021 12:00:00 AM,Alpine,91901,7.28
01/01/2021 12:00:00 AM,Alpine,91901,7.79
12/01/2020 12:00:00 AM,Alpine,91901,7.5
11/01/2020 12:00:00 AM,Alpine,91901,7.16
10/01/2020 12:00:00 AM,Alpine,91901,7.53
09/01/2020 12:00:00 AM,Alpine,91901,8.69
08/01/2020 12:00:00 AM,Alpine,91901,9.81
07/01/2020 12:00:00 AM,Alpine,91901,11.77
06/01/2020 12:00:00 AM,Alpine,91901,12.56
05/01/2020 12:00:00 AM,Alpine,91901,15.21
04/01/2020 12:00:00 AM,Alpine,91901,14.78
03/01/2020 12:00:00 AM,Alpine,91901,3.53
02/01/2020 12:00:00 AM,Alpine,91901,2.08
02/01/2023 12:00:00 AM,Chula Vista S,91911,5.68
01/01/2023 12:00:00 AM,Chula Vista S,91911,5.68
12/01/2022 12:00:00 AM,Chula Vista S,91911,4.85
11/01/2022 12:00:00 AM,Chula Vista S,91911,5.25
10/01/2022 12:00:00 AM,Chula Vista S,91911,5.38
09/01/2022 12:00:00 AM,Chula Vista S,91911,5.13
08/01/2022 12:00:00 AM,Chula Vista S,91911,5.55
07/01/2022 12:00:00 AM,Chula Vista S,91911,5.43
06/01/2022 12:00:00 AM,Chula Vista S,91911,5.55
05/01/2022 12:00:00 AM,Chula Vista S,91911,5.09
04/01/2022 12:00:00 AM,Chula Vista S,91911,5.33
03/01/2022 12:00:00 AM,Chula Vista S,91911,5.65
02/01/2022 12:00:00 AM,Chula Vista S,91911,6.05
01/01/2022 12:00:00 AM,Chula Vista S,91911,6.57
12/01/2021 12:00:00 AM,Chula Vista S,91911,6.09
11/01/2021 12:00:00 AM,Chula Vista S,91911,6.4
10/01/2021 12:00:00 AM,Chula Vista S,91911,7.16
09/01/2021 12:00:00 AM,Chula Vista S,91911,7.43
08/01/2021 12:00:00 AM,Chula Vista S,91911,8.58
07/01/2021 12:00:00 AM,Chula Vista S,91911,8.96
06/01/2021 12:00:00 AM,Chula Vista S,91911,9.51
05/01/2021 12:00:00 AM,Chula Vista S,91911,8.87
04/01/2021 12:00:00 AM,Chula Vista S,91911,9.6
03/01/2021 12:00:00 AM,Chula Vista S,91911,9.74
02/01/2021 12:00:00 AM,Chula Vista S,91911,10.02
01/01/2021 12:00:00 AM,Chula Vista S,91911,10.64
12/01/2020 12:00:00 AM,Chula Vista S,91911,10.41
11/01/2020 12:00:00 AM,Chula Vista S,91911,10.09
10/01/2020 12:00:00 AM,Chula Vista S,91911,10.49
09/01/2020 12:00:00 AM,Chula Vista S,91911,11.56
08/01/2020 12:00:00 AM,Chula Vista S,91911,12.69
07/01/2020 12:00:00 AM,Chula Vista S,91911,14.83
06/01/2020 12:00:00 AM,Chula Vista S,91911,15.93
05/01/2020 12:00:00 AM,Chula Vista S,91911,19.08
04/01/2020 12:00:00 AM,Chula Vista S,91911,18.81
03/01/2020 12:00:00 AM,Chula Vista S,91911,6.81
02/01/2020 12:00:00 AM,Chula Vista S,91911,5.2
02/01/2023 12:00:00 AM,Chula Vista N,91910,4.79
01/01/2023 12:00:00 AM,Chula Vista N,91910,4.78
12/01/2022 12:00:00 AM,Chula Vista N,91910,4.02
11/01/2022 12:00:00 AM,Chula Vista N,91910,4.37
10/01/2022 12:00:00 AM,Chula Vista N,91910,4.5
09/01/2022 12:00:00 AM,Chula Vista N,91910,4.31
08/01/2022 12:00:00 AM,Chula Vista N,91910,4.8
07/01/2022 12:00:00 AM,Chula Vista N,91910,4.7
06/01/2022 12:00:00 AM,Chula Vista N,91910,4.67
05/01/2022 12:00:00 AM,Chula Vista N,91910,4.17
04/01/2022 12:00:00 AM,Chula Vista N,91910,4.42
03/01/2022 12:00:00 AM,Chula Vista N,91910,4.76
02/01/2022 12:00:00 AM,Chula Vista N,91910,5.19
01/01/2022 12:00:00 AM,Chula Vista N,91910,5.71
12/01/2021 12:00:00 AM,Chula Vista N,91910,5.22
11/01/2021 12:00:00 AM,Chula Vista N,91910,5.56
10/01/2021 12:00:00 AM,Chula Vista N,91910,6.3
09/01/2021 12:00:00 AM,Chula Vista N,91910,6.6
08/01/2021 12:00:00 AM,Chula Vista N,91910,7.81
07/01/2021 12:00:00 AM,Chula Vista N,91910,8.24
06/01/2021 12:00:00 AM,Chula Vista N,91910,8.61
05/01/2021 12:00:00 AM,Chula Vista N,91910,7.94
04/01/2021 12:00:00 AM,Chula Vista N,91910,8.69
03/01/2021 12:00:00 AM,Chula Vista N,91910,8.87
02/01/2021 12:00:00 AM,Chula Vista N,91910,9.17
01/01/2021 12:00:00 AM,Chula Vista N,91910,9.77
12/01/2020 12:00:00 AM,Chula Vista N,91910,9.56
11/01/2020 12:00:00 AM,Chula Vista N,91910,9.24
10/01/2020 12:00:00 AM,Chula Vista N,91910,9.62
09/01/2020 12:00:00 AM,Chula Vista N,91910,10.73
08/01/2020 12:00:00 AM,Chula Vista N,91910,11.89
07/01/2020 12:00:00 AM,Chula Vista N,91910,14.07
06/01/2020 12:00:00 AM,Chula Vista N,91910,15
05/01/2020 12:00:00 AM,Chula Vista N,91910,17.99
04/01/2020 12:00:00 AM,Chula Vista N,91910,17.56
03/01/2020 12:00:00 AM,Chula Vista N,91910,5.83
02/01/2020 12:00:00 AM,Chula Vista N,91910,4.28
02/01/2023 12:00:00 AM,Campo,91906,5.68
